Array Size:,1,10,100,1000,10000,100000,1000000,10000000,100000000,1000000000
SumArray (no multithreading),0.000000,0.000000,0.000001,0.000001,0.000005,0.000040,0.000435,0.004073,0.043449,0.426609
Thread Count:,
1,0.000123,0.000080,0.000047,0.000086,0.000075,0.000157,0.000501,0.004643,0.046572,0.433786
2,0.000141,0.000228,0.000119,0.000098,0.000088,0.000133,0.000352,0.002643,0.025446,0.230057
3,0.000118,0.000109,0.000105,0.000096,0.000097,0.000113,0.000301,0.002372,0.018383,0.182652
4,0.000191,0.000156,0.000147,0.000135,0.000119,0.000186,0.000314,0.002290,0.019398,0.186779
8,0.000238,0.000228,0.000248,0.000245,0.000245,0.000281,0.000485,0.002374,0.018408,0.176925
12,0.000378,0.000374,0.000360,0.000359,0.000370,0.000373,0.000613,0.002129,0.019653,0.177755
16,0.000574,0.000527,0.000528,0.000519,0.000517,0.000646,0.000735,0.002145,0.019654,0.179840
20,0.000660,0.000642,0.000627,0.000636,0.000747,0.000832,0.000918,0.002126,0.018819,0.177132
24,0.000795,0.000838,0.000777,0.000779,0.000989,0.000855,0.001370,0.002253,0.019343,0.178113
28,0.000931,0.000990,0.000896,0.000902,0.000952,0.000976,0.001351,0.002171,0.019889,0.176520
32,0.001035,0.001170,0.001030,0.001019,0.001126,0.001221,0.001547,0.002297,0.019178,0.179305
